dim,icc,rho_arat,rho_fma,cohens_d,abs_d,stream
38,0.97558886,-0.4770013111353337,-0.48786386060616255,1.0870755910873413,1.0870755910873413,acc_mean
39,0.984948,0.6595580185130412,0.6542000680654971,-1.2193644046783447,1.2193644046783447,acc_mean
40,0.96937823,-0.20902228085257715,-0.17815301128098016,-0.07180991768836975,0.07180991768836975,acc_mean
41,0.97504634,-0.6547480670084803,-0.6395922403569199,1.176926851272583,1.176926851272583,acc_mean
42,0.97011894,0.5220647959411834,0.53312887006197,-0.9854656457901001,0.9854656457901001,acc_mean
43,0.95450646,0.6171774831539564,0.5935399595470263,-0.869672417640686,0.869672417640686,acc_mean
44,0.98424447,-0.5088606583031802,-0.523272511115185,1.2170488834381104,1.2170488834381104,acc_mean
45,0.975294,0.3766922967256665,0.3917108063158055,-1.0247901678085327,1.0247901678085327,acc_mean
46,0.8930136,0.1138019659419399,0.12553034007392053,-0.4066537618637085,0.4066537618637085,acc_mean
47,0.9843622,-0.6817858481719962,-0.6681497740429084,1.1681021451950073,1.1681021451950073,acc_mean
48,0.96506214,-0.4825375560254834,-0.45292463417565704,0.5411986112594604,0.5411986112594604,acc_mean
49,0.9769668,0.6607821867887511,0.6619420852813672,-1.1766607761383057,1.1766607761383057,acc_mean
50,0.970093,-0.3457667553392915,-0.3670927228043891,0.8516258597373962,0.8516258597373962,acc_mean
51,0.965317,-0.15005701412256675,-0.18824292224047032,0.8386692404747009,0.8386692404747009,acc_mean
52,0.91800916,-0.4784438320067112,-0.48812138650096676,0.890869677066803,0.890869677066803,acc_mean
53,0.9588757,-0.23854169346685258,-0.26534370042153027,0.9222537279129028,0.9222537279129028,acc_mean
54,0.98354113,0.6785260452366773,0.6607039502736148,-1.117299199104309,1.117299199104309,acc_mean
55,0.9689646,-0.1473322524766315,-0.11460211659200471,-0.31948041915893555,0.31948041915893555,acc_mean
56,0.9836066,-0.6587341633293882,-0.6576724142146587,1.2125447988510132,1.2125447988510132,acc_mean
57,0.95939887,-0.41888932298839254,-0.39705852872592845,0.29899829626083374,0.29899829626083374,acc_mean
58,0.8817886,0.07313418214887059,0.07121867020544241,-0.11205591261386871,0.11205591261386871,acc_mean
59,0.95985144,-0.5446975844921034,-0.5054421296418957,0.28917863965034485,0.28917863965034485,acc_mean
60,0.9621949,0.15336327505696387,0.11568558139266738,0.2798581123352051,0.2798581123352051,acc_mean
61,0.9532309,0.22014200293193945,0.23616671255614785,-0.7978724241256714,0.7978724241256714,acc_mean
62,0.94946206,0.5160089957613427,0.49516970783803993,-1.1743777990341187,1.1743777990341187,acc_mean
63,0.9891219,0.6465536502710739,0.6464394904247764,-1.3689948320388794,1.3689948320388794,acc_mean
64,0.90258753,0.32818162838821585,0.29571010217943167,-0.1730552762746811,0.1730552762746811,acc_std
65,0.9155886,0.37754944680865893,0.4048585472694571,-0.9985461235046387,0.9985461235046387,acc_std
66,0.96692395,0.7407642780017455,0.719924852515117,-1.1653234958648682,1.1653234958648682,acc_std
67,0.9710095,-0.04678552797168094,-0.08254903622579117,0.500255286693573,0.500255286693573,acc_std
68,0.97106594,0.7145999072208993,0.7057176206429016,-1.2619364261627197,1.2619364261627197,acc_std
69,0.9791603,0.46201473493269757,0.45618353543903495,-1.2708830833435059,1.2708830833435059,acc_std
70,0.94571745,0.10871404074289459,0.0755935170129718,0.18572214245796204,0.18572214245796204,acc_std
71,0.9512741,0.18778555517395654,0.15838770551699996,-0.07270178198814392,0.07270178198814392,acc_std
