dim,cohens_d,abs_d,stream
376,0.14264674484729767,0.14264674484729767,gravity
377,0.20887497067451477,0.20887497067451477,gravity
378,0.27865535020828247,0.27865535020828247,gravity
379,0.35315755009651184,0.35315755009651184,gravity
380,0.43126630783081055,0.43126630783081055,gravity
381,0.5102486610412598,0.5102486610412598,gravity
382,0.5827189087867737,0.5827189087867737,gravity
383,0.6344073414802551,0.6344073414802551,gravity
384,0.6461958289146423,0.6461958289146423,gravity
385,0.6055096983909607,0.6055096983909607,gravity
386,0.5190600156784058,0.5190600156784058,gravity
387,0.4087156355381012,0.4087156355381012,gravity
388,0.29600152373313904,0.29600152373313904,gravity
389,0.194745734333992,0.194745734333992,gravity
390,0.10955899208784103,0.10955899208784103,gravity
391,0.04138200357556343,0.04138200357556343,gravity
392,-0.009530650451779366,0.009530650451779366,gravity
393,-0.04202587157487869,0.04202587157487869,gravity
394,-0.05314645916223526,0.05314645916223526,gravity
395,-0.038611624389886856,0.038611624389886856,gravity
396,0.0028544378001242876,0.0028544378001242876,gravity
397,0.062297139316797256,0.062297139316797256,gravity
398,0.1228083074092865,0.1228083074092865,gravity
399,0.17182089388370514,0.17182089388370514,gravity
400,0.20735464990139008,0.20735464990139008,gravity
401,0.2319057285785675,0.2319057285785675,gravity
402,0.24809478223323822,0.24809478223323822,gravity
403,0.2576836347579956,0.2576836347579956,gravity
404,0.2617383301258087,0.2617383301258087,gravity
405,0.261100172996521,0.261100172996521,gravity
406,0.2568284273147583,0.2568284273147583,gravity
407,0.2502775192260742,0.2502775192260742,gravity
408,0.24305376410484314,0.24305376410484314,gravity
409,0.23462766408920288,0.23462766408920288,gravity
410,0.22160376608371735,0.22160376608371735,gravity
411,0.19928720593452454,0.19928720593452454,gravity
412,0.16293779015541077,0.16293779015541077,gravity
413,0.11094246804714203,0.11094246804714203,gravity
414,0.04691140726208687,0.04691140726208687,gravity
415,-0.022121142596006393,0.022121142596006393,gravity
416,-0.08967238664627075,0.08967238664627075,gravity
417,-0.15190720558166504,0.15190720558166504,gravity
418,-0.207256481051445,0.207256481051445,gravity
419,-0.25516533851623535,0.25516533851623535,gravity
420,-0.2954859137535095,0.2954859137535095,gravity
421,-0.3273334503173828,0.3273334503173828,gravity
422,-0.34898731112480164,0.34898731112480164,gravity
423,-0.3593696653842926,0.3593696653842926,gravity
424,-0.3604032099246979,0.3604032099246979,gravity
425,-0.3574466109275818,0.3574466109275818,gravity
426,-0.35657942295074463,0.35657942295074463,gravity
427,-0.36064019799232483,0.36064019799232483,gravity
428,-0.1801469773054123,0.1801469773054123,gravity
429,-0.13746076822280884,0.13746076822280884,gravity
430,-0.07480299472808838,0.07480299472808838,gravity
431,0.00203163200058043,0.00203163200058043,gravity
432,0.08661063015460968,0.08661063015460968,gravity
433,0.1709907501935959,0.1709907501935959,gravity
434,0.24682573974132538,0.24682573974132538,gravity
435,0.3068442642688751,0.3068442642688751,gravity
436,0.3459790050983429,0.3459790050983429,gravity
437,0.3615436553955078,0.3615436553955078,gravity
438,0.35213127732276917,0.35213127732276917,gravity
439,0.31871235370635986,0.31871235370635986,gravity
440,0.2646961510181427,0.2646961510181427,gravity
441,0.19495277106761932,0.19495277106761932,gravity
442,0.11613096296787262,0.11613096296787262,gravity
443,0.03545260429382324,0.03545260429382324,gravity
444,-0.04063977673649788,0.04063977673649788,gravity
445,-0.10712705552577972,0.10712705552577972,gravity
446,-0.16027672588825226,0.16027672588825226,gravity
447,-0.19732807576656342,0.19732807576656342,gravity
448,-0.21618233621120453,0.21618233621120453,gravity
449,-0.2176743447780609,0.2176743447780609,gravity
450,-0.20530234277248383,0.20530234277248383,gravity
451,-0.18342480063438416,0.18342480063438416,gravity
452,-0.15645134449005127,0.15645134449005127,gravity
453,-0.12759527564048767,0.12759527564048767,gravity
454,-0.09835977852344513,0.09835977852344513,gravity
455,-0.06865192949771881,0.06865192949771881,gravity
456,-0.03720652312040329,0.03720652312040329,gravity
457,-0.002141140168532729,0.002141140168532729,gravity
458,0.03873365744948387,0.03873365744948387,gravity
459,0.08623586595058441,0.08623586595058441,gravity
460,0.13825653493404388,0.13825653493404388,gravity
461,0.1906282752752304,0.1906282752752304,gravity
462,0.2378954142332077,0.2378954142332077,gravity
463,0.27524489164352417,0.27524489164352417,gravity
464,0.30007264018058777,0.30007264018058777,gravity
465,0.31233710050582886,0.31233710050582886,gravity
466,0.3140040338039398,0.3140040338039398,gravity
467,0.3083110451698303,0.3083110451698303,gravity
468,0.29979389905929565,0.29979389905929565,gravity
469,0.29312604665756226,0.29312604665756226,gravity
470,0.290809690952301,0.290809690952301,gravity
471,0.2936210334300995,0.2936210334300995,gravity
472,0.2994057834148407,0.2994057834148407,gravity
473,0.30322521924972534,0.30322521924972534,gravity
474,0.2991520166397095,0.2991520166397095,gravity
475,0.2826331555843353,0.2826331555843353,gravity
476,0.2511919438838959,0.2511919438838959,gravity
477,0.20324377715587616,0.20324377715587616,gravity
478,0.13582651317119598,0.13582651317119598,gravity
479,0.0464167445898056,0.0464167445898056,gravity
480,-0.06518815457820892,0.06518815457820892,gravity
481,-0.19520539045333862,0.19520539045333862,gravity
482,-0.32889413833618164,0.32889413833618164,gravity
483,-0.4396005868911743,0.4396005868911743,gravity
484,-0.5029934644699097,0.5029934644699097,gravity
485,-0.513809323310852,0.513809323310852,gravity
486,-0.4826108515262604,0.4826108515262604,gravity
487,-0.42232435941696167,0.42232435941696167,gravity
488,-0.34235653281211853,0.34235653281211853,gravity
489,-0.2517918050289154,0.2517918050289154,gravity
490,-0.16044728457927704,0.16044728457927704,gravity
491,-0.08001697063446045,0.08001697063446045,gravity
492,-0.02043500915169716,0.02043500915169716,gravity
493,0.014192177914083004,0.014192177914083004,gravity
494,0.025289397686719894,0.025289397686719894,gravity
495,0.016943980008363724,0.016943980008363724,gravity
496,-0.006042102817445993,0.006042102817445993,gravity
497,-0.03823675215244293,0.03823675215244293,gravity
498,-0.07255825400352478,0.07255825400352478,gravity
499,-0.10024544596672058,0.10024544596672058,gravity
500,-0.11553192138671875,0.11553192138671875,gravity
501,-0.11748648434877396,0.11748648434877396,gravity
502,-0.10966577380895615,0.10966577380895615,gravity
503,-0.09760604798793793,0.09760604798793793,gravity
504,-0.08667003363370895,0.08667003363370895,gravity
505,-0.08115804195404053,0.08115804195404053,gravity
506,-0.08408411592245102,0.08408411592245102,gravity
507,-0.0969710648059845,0.0969710648059845,gravity
508,-0.11973834782838821,0.11973834782838821,gravity
509,-0.14754420518875122,0.14754420518875122,gravity
510,-0.17178604006767273,0.17178604006767273,gravity
511,-0.18300899863243103,0.18300899863243103,gravity
512,-0.17393359541893005,0.17393359541893005,gravity
513,-0.14214493334293365,0.14214493334293365,gravity
