feature,rho_ARAT,p_ARAT,rho_FMA,p_FMA,sig_ARAT,sig_FMA
path_length_iqr,0.6473233044558023,6.735904996150352e-25,0.6160351944661381,4.475849455735491e-22,True,True
vel_mag_mean_iqr,0.6472048365581531,6.913642956659659e-25,0.6161017026551865,4.417825538549913e-22,True,True
vel_mag_std_p50,0.6462431559772348,8.537695050456411e-25,0.6231430638329406,1.0902979872510824e-22,True,True
vel_mag_std_mean,0.6462036666780184,8.61184786202114e-25,0.6210410957185929,1.6617010195038814e-22,True,True
acc_mag_max_mean,0.6454603386927673,1.0131855520932912e-24,0.6243827455427637,8.491048496646217e-23,True,True
acc_mag_std_p10,0.6451839135982523,1.0761945371870318e-24,0.6321657503635124,1.7218734474863238e-23,True,True
vel_mag_max_p90,0.6450275050013559,1.1135366188099925e-24,0.6171302595323324,3.609089610962647e-22,True,True
X_acc_std_p90,0.6437816563260759,1.4601369293879362e-24,0.6143639828785349,6.20630161590011e-22,True,True
acc_mag_std_p50,0.6407014909871926,2.8381531358768837e-24,0.6158016424534326,4.68559665364576e-22,True,True
Z_jerk_std_p10,0.6390197114205626,4.066796235837858e-24,0.6430970672495702,1.6936811639086243e-24,True,True
X_vel_std_iqr,0.6385303538302722,4.513629618178492e-24,0.6030730577609941,5.372700948518868e-21,True,True
Y_acc_std_mean,0.6383398760340518,4.700306047989199e-24,0.6264197521701338,5.616698272070082e-23,True,True
Z_acc_std_p90,0.6378946535428859,5.1667414353560304e-24,0.6122504144986555,9.357512863589e-22,True,True
Y_acc_std_p50,0.637355740753579,5.792475479321803e-24,0.6300135144318608,2.6889884643992516e-23,True,True
vel_mag_max_p10,0.6367726928651479,6.553403757618365e-24,0.6262341479216263,5.832965733601998e-23,True,True
Z_vel_std_p90,0.6365651804692652,6.847262128549761e-24,0.6121924131709968,9.463140978707831e-22,True,True
Y_acc_max_p50,0.6363646367732444,7.143539467288863e-24,0.6310753254035308,2.1590946059842914e-23,True,True
Y_jerk_mean_p90,0.6340967121182448,1.1508478608642122e-23,0.6323853820575798,1.6449792064869782e-23,True,True
Y_vel_mean_iqr,0.6336584583269406,1.2613650555267112e-23,0.627897625998875,4.1537038529143105e-23,True,True
displacement_std,0.6315066786696362,1.9744415639994034e-23,0.6096651019871527,1.5398531466157798e-21,True,True
X_acc_std_iqr,0.631406793971618,2.0157684087991875e-23,0.6073906765919002,2.377694823578256e-21,True,True
Z_acc_max_p90,0.6307803852840473,2.2950122184083955e-23,0.6088175092523017,1.8112122918639208e-21,True,True
Y_vel_max_p50,0.627717254544826,4.3098980171008936e-23,0.6197820802328835,2.135546043804284e-22,True,True
Y_jerk_std_p10,0.6261175507765674,5.972986789801095e-23,0.6475074882047301,6.4684561569184555e-25,True,True
Z_jerk_std_p50,0.625411389190579,6.89434272939876e-23,0.622334138649862,1.2827382726343297e-22,True,True
X_acc_max_iqr,0.6248438273018405,7.734835285718924e-23,0.60525004092578,3.567438430489353e-21,True,True
acc_mag_std_mean,0.6245689508072947,8.177293771543971e-23,0.6016091042508909,7.063500292850634e-21,True,True
vel_mag_std_p90,0.6243962819107207,8.467846714977519e-23,0.593739484114172,3.002430088852278e-20,True,True
Y_vel_mean_p90,0.6234903509286963,1.0166587348241413e-22,0.6124375654492339,9.024517310805868e-22,True,True
Y_vel_std_p10,0.6232689011330902,1.0630292532829523e-22,0.6196962382679488,2.172300274168617e-22,True,True
vel_mag_max_iqr,0.6229808615388055,1.126462338249696e-22,0.5933883827440786,3.1997194914586124e-20,True,True
Z_vel_max_std,0.6217667591628958,1.4372401890985279e-22,0.5978769121538189,1.4099921869593948e-20,True,True
Y_acc_mean_std,0.6196475001049462,2.193443793880917e-22,0.6086945464376654,1.8542915804733676e-21,True,True
X_vel_std_std,0.6182584059325086,2.888768468870903e-22,0.5922275828398711,3.9468604170333107e-20,True,True
Z_jerk_max_p10,0.6150226062967133,5.4574335742838365e-22,0.6200883272429211,2.0093305969605819e-22,True,True
acc_mag_mean_iqr,0.6148522603000934,5.642149486474185e-22,0.5907767762973706,5.124447909510502e-20,True,True
vel_mag_std_iqr,0.6142111399128144,6.394015176251836e-22,0.5839542734626484,1.719258681077016e-19,True,True
vel_mag_std_p10,0.6141693277136442,6.446330357962127e-22,0.601502381807999,7.20540958529043e-21,True,True
Y_vel_mean_std,0.6117960982607338,1.021686890623868e-21,0.5969635845809548,1.667576380675677e-20,True,True
jerk_mag_mean_p50,0.6086988983221885,1.852749898479523e-21,0.6099264946371343,1.4645287858691062e-21,True,True
Y_jerk_mean_std,0.6085881734243854,1.8923688590755765e-21,0.5976534137045743,1.469162322843906e-20,True,True
Y_vel_max_mean,0.6085347467254456,1.911781952480584e-21,0.593047334937446,3.403511767470301e-20,True,True
Z_vel_std_iqr,0.6065037578657444,2.8139839094859534e-21,0.5785616966924693,4.387505835448575e-19,True,True
Y_vel_std_p50,0.6029473980363097,5.500678564894436e-21,0.5921363274176883,4.012371326578589e-20,True,True
X_jerk_std_iqr,0.5978780560368957,1.4096954463385003e-20,0.5900011052088163,5.888985019384748e-20,True,True
Y_acc_max_p90,0.5971045303522441,1.6250084951852244e-20,0.5777396245417882,5.053437968015724e-19,True,True
Y_vel_std_mean,0.5961049090720785,1.951565815469132e-20,0.5812552783489349,2.753744209889157e-19,True,True
X_vel_std_p10,0.5958555844770256,2.042564577802437e-20,0.5738558556417682,9.799440521836563e-19,True,True
X_jerk_max_iqr,0.5957975119781779,2.0643503567331693e-20,0.5887513699355323,7.362141646216715e-20,True,True
Z_jerk_max_p50,0.5951409055912062,2.327101917305231e-20,0.5943952857922319,2.665368678575207e-20,True,True
