feature,importance,std
X_jerk_std_mean,0.006249889401028222,0.0034108547246152355
Y_jerk_mean_mean,0.005781689164765919,0.0020775549643747104
vel_mag_std_iqr,0.005693650552448863,0.0030417165520974657
X_jerk_std_p50,0.0055928823969310995,0.0034180136208295936
Z_acc_max_p10,0.005468280840763603,0.004476151576896183
Y_acc_std_std,0.005366550792664678,0.001855083020943242
acc_mag_max_p50,0.005297089118560987,0.0019049783162300672
jerk_mag_max_p10,0.005241678146312125,0.002496735731095118
X_acc_mean_p10,0.005231290002942447,0.0037534828640047612
Z_acc_mean_iqr,0.005176860039298116,0.002879132513600078
X_jerk_max_p90,0.005167364847797593,0.0046248205071949215
Y_jerk_std_p90,0.00515454148583707,0.002897731335457768
X_vel_std_p10,0.005147450328119705,0.0035296093771669053
Z_acc_std_mean,0.005144809940521609,0.002782039020185892
X_acc_max_p50,0.005136632786888439,0.002859306357400541
Z_vel_std_p10,0.005059930118576927,0.007021769143247315
Z_jerk_mean_p10,0.004839771371386558,0.002246611011355978
acc_mag_max_std,0.004826373075499704,0.0033504335640196494
Z_acc_mean_p10,0.004751771835364493,0.002290316865399977
Z_jerk_std_p50,0.004650840167966704,0.003455658691661658
jerk_mag_mean_p50,0.004573342451515865,0.0020718094271845997
Z_vel_std_iqr,0.004470994875490745,0.0018052726622355536
X_vel_std_iqr,0.00428314773705785,0.003166288309930268
Y_acc_std_p50,0.0042108179446122265,0.0030214243842052366
jerk_mag_max_p50,0.004106318666362931,0.0040844481814837795
X_jerk_mean_iqr,0.004099902985671906,0.006041247732305342
acc_mag_std_mean,0.003930871876244819,0.002089763391882755
X_jerk_std_p90,0.00389523116354488,0.002440665332104645
Z_acc_max_p90,0.0038476704731721083,0.004081903947248824
Z_vel_max_p50,0.003645488061277166,0.003039921958786781
jerk_mag_std_p10,0.0036449736381884996,0.002401812295382862
acc_mag_std_std,0.00359446123741531,0.0020388518646437103
Y_vel_mean_iqr,0.003577422725734878,0.003515245951550649
X_jerk_mean_p10,0.00352566591462322,0.0030484078274070348
Y_acc_max_p90,0.0034417468768437394,0.002503069689970105
path_length_std,0.003436619270023354,0.0030839151934262754
X_acc_mean_std,0.0034313123830136388,0.004262897937345717
path_length_iqr,0.0034089476487103205,0.002300208701051844
vel_mag_std_std,0.0033343092259700995,0.0021819637138316772
jerk_mag_std_std,0.003331277214207488,0.002074738103392067
Z_acc_std_p90,0.003299180499038822,0.002102339246883015
Z_jerk_max_iqr,0.003261715053280094,0.0021092705204093956
X_jerk_max_p10,0.0030983120395772536,0.0018238871221785897
X_acc_mean_p50,0.0030843623568866927,0.0013795388957051516
vel_mag_mean_p50,0.003042890985399877,0.0021470354727714763
X_vel_std_mean,0.0030236825802406643,0.0024073695237018674
Y_vel_max_p10,0.003000413446926115,0.001921237787930701
Z_acc_max_iqr,0.0028174414220197568,0.002900308269143767
Z_jerk_mean_iqr,0.002809713377068691,0.0035914841279184764
X_acc_std_p50,0.0027943033046963733,0.0025193865863114193
vel_mag_mean_mean,0.0027289939189633857,0.004107635379374895
Z_vel_std_p90,0.0026749726923337774,0.0016984621798711032
Z_jerk_mean_mean,0.0026508298416090337,0.0011401422314652723
Y_acc_mean_p50,0.002633358473927523,0.0012595562252089346
Z_acc_std_p50,0.002631553064936891,0.0035762865829669496
Y_acc_max_p50,0.0026231434176045257,0.0018076605044331558
acc_mag_std_p50,0.002612879011637516,0.0030536250821956235
Y_jerk_mean_p50,0.002607210036324638,0.0016673443865691225
X_acc_max_p10,0.002593915044803461,0.0016409002929999104
Y_jerk_std_std,0.0024987976597663506,0.0030291037554700867
Z_vel_std_std,0.00247854883842419,0.0017752790550155811
X_vel_max_p10,0.002447895515508235,0.001052930750629853
vel_mag_mean_std,0.0024151480332767813,0.002451123025959896
Z_jerk_std_p10,0.00237413411844406,0.00315425958220002
Y_jerk_std_mean,0.0023094137000755815,0.0014526388731896196
X_acc_mean_iqr,0.002263960216731013,0.0021385623693638838
acc_mag_mean_mean,0.002176109270504713,0.0018337603312953046
Z_acc_max_p50,0.002150093946628098,0.0031078892434634096
Z_vel_mean_p10,0.0021413188250153006,0.0011217397214440194
Y_acc_std_iqr,0.002081197278588426,0.0012438719460966209
X_vel_max_iqr,0.0020761307749852793,0.002473401571469637
X_acc_std_iqr,0.002066448324634414,0.0024817203782478447
X_jerk_mean_p90,0.0020460776217481797,0.0019505678445902353
Z_acc_std_p10,0.0020116040283214855,0.003202191632853689
X_vel_mean_std,0.002000082107494102,0.0020524017226770915
vel_mag_mean_p90,0.0019837652933059643,0.0018739284726615774
X_vel_mean_mean,0.0019334821471364897,0.0010605136284901778
Z_jerk_mean_std,0.0018744083365298694,0.0032196418294448623
vel_mag_max_p50,0.001862086289367809,0.0015867341920367155
X_vel_max_mean,0.001834980456399052,0.001896323152810892
jerk_mag_mean_std,0.0018341460098139327,0.002669084449279025
Z_vel_mean_mean,0.001829856077650303,0.0009874360292847512
X_vel_mean_p90,0.0017952461464075438,0.002506057235000145
X_jerk_std_iqr,0.0017470630799712574,0.0020620170651921683
vel_mag_max_std,0.0017049596410354455,0.0017373730716809957
Z_acc_mean_std,0.0015905292488634327,0.002620875994321904
acc_mag_std_iqr,0.0015852006246344808,0.0013141039141333223
Y_jerk_max_mean,0.0015582777390999386,0.002644484371183579
jerk_mag_mean_mean,0.0015391889062587494,0.0022192253997108764
path_length_p50,0.0015338216874670597,0.0018249452292403
Z_vel_mean_std,0.001533307819426644,0.0009756451202990436
path_length_p10,0.0015090711852528216,0.001696561462240638
Z_vel_std_mean,0.0014849937749700478,0.0022599461339863304
X_vel_mean_p50,0.0014437231691127159,0.0008148974043588962
Z_acc_std_iqr,0.0013925385577968367,0.0006848812237472394
