,PC1,PC2
vel_mag_max_p50,0.07332618463706406,-0.07271925420124047
vel_mag_max_p90,0.074367553488162,-0.0675583929718084
X_jerk_mean_mean,0.0063659613311383275,-0.00309045976446621
X_jerk_mean_std,0.07100606368666709,0.04641432011909495
X_jerk_mean_iqr,0.06319031141021095,0.08336761248972933
X_jerk_mean_p10,-0.07057826377182347,-0.06453972254300432
X_jerk_mean_p50,-0.0012221740213913222,0.012370028857682177
X_jerk_mean_p90,0.07076517342380689,0.06578836168110183
X_jerk_std_mean,0.062341038571403384,0.13666583139741934
X_jerk_std_std,0.05935863934254985,0.09234279419934413
X_jerk_std_iqr,0.06603246374540431,0.09247928446717334
X_jerk_std_p10,0.02707986550961131,0.17926093409441
X_jerk_std_p50,0.06087310462975109,0.14031031353908208
X_jerk_std_p90,0.06398616982162293,0.11536750513528224
X_jerk_max_mean,0.06500205141033438,0.12213008991831478
X_jerk_max_std,0.06368583521848897,0.0679928070125889
X_jerk_max_iqr,0.0691292304962991,0.07134221559186485
X_jerk_max_p10,0.029036965028595155,0.1825238294556758
X_jerk_max_p50,0.06166582201149765,0.13638056981935465
X_jerk_max_p90,0.06779613582403726,0.09152365549617324
Y_jerk_mean_mean,-0.0013148618557513798,0.0006356705088846902
Y_jerk_mean_std,0.07208926969731937,0.014344327795886779
Y_jerk_mean_iqr,0.06940841037904043,0.04984213468384728
Y_jerk_mean_p10,-0.07156702597669434,-0.035093416209798015
Y_jerk_mean_p50,-0.005337851337270206,0.003289842323039365
Y_jerk_mean_p90,0.07182378888195173,0.03160816887325547
Y_jerk_std_mean,0.06609935881451463,0.10978105919751774
Y_jerk_std_std,0.0564091933041505,0.09167062347311634
Y_jerk_std_iqr,0.06309482424582699,0.08199516504923926
Y_jerk_std_p10,0.056225831807245594,0.1165430365882798
Y_jerk_std_p50,0.06548064511409957,0.11114320291511963
Y_jerk_std_p90,0.06450848507812725,0.09688219349151787
Y_jerk_max_mean,0.06864085700863144,0.09071836061068207
Y_jerk_max_std,0.06215618021946085,0.05247821198608548
Y_jerk_max_iqr,0.06641131815859687,0.05086805277324225
Y_jerk_max_p10,0.056011632854857725,0.12435698648571415
Y_jerk_max_p50,0.06637440363901272,0.10394589641689592
Y_jerk_max_p90,0.06822672252359378,0.0642376204588572
Z_jerk_mean_mean,-0.001430834932722819,0.017105976443706043
Z_jerk_mean_std,0.07406526875021907,0.002613012785304994
Z_jerk_mean_iqr,0.07156524740894796,0.04058711156047851
Z_jerk_mean_p10,-0.07383548628619002,-0.02098567882630944
Z_jerk_mean_p50,-0.007833301354377058,-0.006382952080955008
Z_jerk_mean_p90,0.07408437370943047,0.023373378169388732
Z_jerk_std_mean,0.06861826736569651,0.09016464161715784
Z_jerk_std_std,0.059023590391390726,0.07069887151173228
Z_jerk_std_iqr,0.06709367805269723,0.048249343805380096
Z_jerk_std_p10,0.058837352750581134,0.10422831711048669
Z_jerk_std_p50,0.0676876452081478,0.09436568815301692
Z_jerk_std_p90,0.06674108131348569,0.07646539305739518
Z_jerk_max_mean,0.07022651979250419,0.07745749218917435
Z_jerk_max_std,0.06407345920683762,0.03776351073969048
Z_jerk_max_iqr,0.06834608237151893,0.03403941614565156
Z_jerk_max_p10,0.05856570871605549,0.11123213402540166
Z_jerk_max_p50,0.06752454037827275,0.08995022616526697
Z_jerk_max_p90,0.07012233407016483,0.05260205410004421
jerk_mag_mean_mean,0.06536670999331323,0.1302231727462972
jerk_mag_mean_std,0.056467261517897195,0.11144494669804385
jerk_mag_mean_iqr,0.06430593731076335,0.10603136640300205
jerk_mag_mean_p10,0.05510005904582719,0.1453171788973976
jerk_mag_mean_p50,0.06522988272146295,0.12681416440816526
jerk_mag_mean_p90,0.06316116604939596,0.1215778463993905
jerk_mag_std_mean,0.07345417791706314,0.06154698034773359
jerk_mag_std_std,0.06353904066889232,0.030264881167344135
jerk_mag_std_iqr,0.07031920031969581,0.008110574828758899
jerk_mag_std_p10,0.06353047802584115,0.11574312096962636
jerk_mag_std_p50,0.07288234902758221,0.06816111409450525
jerk_mag_std_p90,0.07142027196789072,0.038456415164456026
jerk_mag_max_mean,0.07318031441044306,0.07324768464036101
jerk_mag_max_std,0.06490565970871942,0.037438240153684174
jerk_mag_max_iqr,0.07030516795834124,0.024148083736346266
jerk_mag_max_p10,0.06275147137156746,0.11952645549876657
jerk_mag_max_p50,0.07212341903022075,0.08010083951875333
jerk_mag_max_p90,0.0720321673432863,0.04968970324877857
displacement_mean,0.07450263978403082,-0.06673947793938219
displacement_std,0.07205515975155376,-0.06293693847235238
displacement_iqr,0.07306024507729114,-0.07346589903728597
displacement_p10,0.06841891705556094,-0.04576461073360693
displacement_p50,0.07264304152183099,-0.06946713537676868
displacement_p90,0.07462616607762258,-0.06586149480929711
path_length_mean,0.07491647560225365,-0.06454479432358494
path_length_std,0.06999347877070605,-0.05734886008839956
path_length_iqr,0.07198710815987099,-0.06902289146502523
path_length_p10,0.06680626323009921,-0.04186107582136286
path_length_p50,0.07357204365647808,-0.0685632802277969
path_length_p90,0.07476831259106936,-0.06444608766717873
