dim,icc,sd,SEM,MDC,stream
219,0.47124568,0.0029922088,0.0021757996,0.006031008714073127,gravity
220,0.4735963,0.0029988158,0.0021757514,0.006030875121734238,gravity
221,0.47577816,0.003005248,0.0021758946,0.006031272026509199,gravity
222,0.47776535,0.003012387,0.0021769258,0.006034130386262537,gravity
223,0.47962442,0.003017634,0.0021768324,0.00603387159144179,gravity
224,0.48135573,0.0030209862,0.0021756224,0.006030517584749964,gravity
225,0.48288926,0.0030250372,0.0021753167,0.006029670209189762,gravity
226,0.484246,0.0030289409,0.0021752645,0.00602952564549937,gravity
227,0.48551527,0.0030293297,0.0021728652,0.0060228750703677034,gravity
228,0.48658347,0.0030304152,0.0021713863,0.006018775657147291,gravity
229,0.4874485,0.003032194,0.0021708296,0.006017232568827076,gravity
230,0.48822513,0.003030581,0.0021680305,0.006009473887193607,gravity
231,0.48882023,0.0030288473,0.00216553,0.006002543219911805,gravity
232,0.48920822,0.003027811,0.0021639674,0.005998211472188977,gravity
233,0.4894622,0.0030250975,0.0021614905,0.005991345987642575,gravity
234,0.48958158,0.0030207115,0.0021581042,0.005981959673744957,gravity
235,0.48949057,0.0030170293,0.0021556655,0.005975200030471878,gravity
236,0.48921528,0.0030132881,0.002153573,0.0059694000577685015,gravity
237,0.48886338,0.0030064299,0.0021494117,0.00595786529509715,gravity
238,0.48829862,0.0030002848,0.0021462028,0.005948970755896313,gravity
239,0.48751956,0.0029948582,0.0021439514,0.005942729993011963,gravity
240,0.4866782,0.0029864574,0.0021396915,0.005930922237300273,gravity
241,0.4856528,0.0029780434,0.0021357932,0.005920116746817061,gravity
242,0.4844117,0.00297036,0.0021328514,0.005911962451155867,gravity
243,0.48305875,0.0029612759,0.0021291168,0.005901610658325985,gravity
244,0.48159507,0.0029507922,0.0021245806,0.005889036844129938,gravity
245,0.47991586,0.0029410545,0.0021209961,0.005879101317283552,gravity
246,0.47806087,0.0029313848,0.0021177896,0.005870213231818893,gravity
247,0.47619116,0.002919036,0.002112642,0.005855944666502443,gravity
248,0.47410798,0.0029074505,0.002108437,0.005844289218964558,gravity
249,0.47181138,0.002896638,0.0021051774,0.005835253988315035,gravity
250,0.46953228,0.0028832923,0.0020999946,0.005820887971582294,gravity
251,0.4670895,0.0028700656,0.0020951685,0.005807510667232057,gravity
252,0.46443796,0.002857631,0.0020912746,0.005796717438847584,gravity
253,0.46173635,0.0028440843,0.0020866038,0.005783770598700436,gravity
254,0.45898858,0.002829424,0.00208114,0.005768625616010982,gravity
255,0.45603874,0.0028155765,0.0020765928,0.005756021469254897,gravity
256,0.4529482,0.002801939,0.0020723967,0.00574439054591449,gravity
257,0.44995946,0.0027860499,0.002066266,0.005727397213183591,gravity
258,0.44677782,0.0027709971,0.0020610373,0.005712904057848138,gravity
259,0.4434058,0.0027567917,0.002056711,0.00570091172528175,gravity
260,0.4401813,0.0027404728,0.00205045,0.005683557628698488,gravity
261,0.43684265,0.0027244166,0.002044506,0.005667081240235465,gravity
262,0.4333257,0.0027092323,0.0020394495,0.005653065661377202,gravity
263,0.42985684,0.0026932121,0.002033586,0.005636812572185946,gravity
264,0.42644253,0.0026763547,0.0020268993,0.005618278087255685,gravity
265,0.4228644,0.002660393,0.0020210857,0.005602163753392261,gravity
266,0.41920757,0.00264479,0.0020155876,0.005586923900780987,gravity
267,0.41580388,0.0026273287,0.002008139,0.005566277107999592,gravity
268,0.41225263,0.002610787,0.0020015514,0.005548017552230524,gravity
269,0.4085585,0.0025951832,0.0019958317,0.0055321633039350825,gravity
270,0.4051668,0.002577847,0.0019881756,0.005510941483260206,gravity
271,0.40173292,0.0025609196,0.001980813,0.005490533478717406,gravity
272,0.3981747,0.002544956,0.0019743107,0.005472510129692461,gravity
273,0.39477894,0.0025284144,0.001967004,0.005452257014817937,gravity
274,0.3915534,0.00251129,0.0019588813,0.005429741865412944,gravity
275,0.38822222,0.0024951545,0.0019516157,0.0054096026589819666,gravity
276,0.3848904,0.0024795237,0.0019446636,0.005390332448127387,gravity
277,0.3819606,0.0024623876,0.0019358178,0.0053658130909522445,gravity
278,0.37894484,0.0024462654,0.0019278296,0.005343670967498353,gravity
279,0.37584877,0.0024311754,0.0019207075,0.005323929633902763,gravity
280,0.37319374,0.0024146936,0.0019117395,0.005299071455578263,gravity
281,0.37057477,0.0023987626,0.00190309,0.005275096471049755,gravity
282,0.3678944,0.0023838899,0.0018953133,0.005253540346840846,gravity
283,0.36547613,0.0023686746,0.0018868153,0.005229985177850731,gravity
284,0.36332634,0.0023531087,0.0018775886,0.0052044099894368295,gravity
285,0.36113194,0.002338624,0.0018692442,0.005181280444347669,gravity
286,0.35900623,0.0023247811,0.0018612683,0.005159172525695522,gravity
287,0.35738477,0.0023097475,0.0018515694,0.005132288519584675,gravity
288,0.35573372,0.0022958142,0.0018427627,0.005107877585177327,gravity
289,0.35405704,0.0022830036,0.0018348632,0.005085981349071826,gravity
290,0.35289955,0.0022691018,0.0018253234,0.005059538455828762,gravity
291,0.3518312,0.0022558765,0.001816182,0.005034199796845793,gravity
292,0.3507473,0.0022437912,0.0018079621,0.005011415203955358,gravity
293,0.34997195,0.0022315693,0.0017991875,0.004987093331107269,gravity
294,0.3495061,0.0022191966,0.0017898532,0.004961219980081933,gravity
295,0.34902918,0.0022079777,0.0017814573,0.004937947807423234,gravity
296,0.34864733,0.0021975138,0.0017735348,0.004915987679329568,gravity
297,0.3487798,0.0021861244,0.0017641634,0.00489001139121219,gravity
298,0.34889984,0.0021759002,0.0017557507,0.004866692751653007,gravity
299,0.34900683,0.0021668556,0.001748309,0.0048460653200801465,gravity
300,0.34960616,0.0021569706,0.001739532,0.004821736670809071,gravity
301,0.35028678,0.002147852,0.0017312716,0.004798840105595944,gravity
302,0.35094446,0.0021399134,0.0017239994,0.004778682506016858,gravity
303,0.3518659,0.0021319934,0.0017163992,0.004757615897697068,gravity
304,0.35304344,0.0021240711,0.001708467,0.0047356289865982636,gravity
305,0.354181,0.0021173274,0.001701545,0.0047164420289403835,gravity
306,0.3553645,0.0021113947,0.0016952219,0.004698915294914354,gravity
307,0.3569491,0.0021047406,0.0016878011,0.004678345946967097,gravity
308,0.35847038,0.0020992546,0.0016814093,0.00466062882772381,gravity
309,0.3599216,0.002094945,0.0016760586,0.0046457974966126175,gravity
310,0.36171576,0.0020899742,0.0016697366,0.004628273666767868,gravity
311,0.3635025,0.0020857868,0.0016640573,0.004612531390795119,gravity
312,0.36518967,0.0020827546,0.0016594344,0.004599717497613242,gravity
313,0.36699978,0.0020798168,0.0016547295,0.0045866761102310825,gravity
