dim,icc,stream,category
346,-0.0980096,gravity,poor
347,-0.10356716,gravity,poor
348,-0.08555084,gravity,poor
349,-0.04123109,gravity,poor
350,0.02274638,gravity,poor
351,0.091474876,gravity,poor
352,0.14587511,gravity,poor
353,0.17035922,gravity,poor
354,0.1581187,gravity,poor
355,0.11102918,gravity,poor
356,0.036519263,gravity,poor
357,-0.05496419,gravity,poor
358,-0.1502291,gravity,poor
359,-0.23310003,gravity,poor
360,-0.28977796,gravity,poor
361,-0.31133217,gravity,poor
362,-0.2968086,gravity,poor
363,-0.25389487,gravity,poor
364,-0.19755594,gravity,poor
365,-0.14706855,gravity,poor
366,-0.119761236,gravity,poor
367,-0.12289825,gravity,poor
368,-0.1524357,gravity,poor
369,-0.19541158,gravity,poor
370,-0.23761094,gravity,poor
371,-0.26985005,gravity,poor
372,-0.28694788,gravity,poor
373,-0.28740302,gravity,poor
374,-0.27291068,gravity,poor
375,-0.24736446,gravity,poor
376,-0.21529901,gravity,poor
377,-0.18047714,gravity,poor
378,-0.14650567,gravity,poor
379,-0.11421001,gravity,poor
380,-0.08396377,gravity,poor
381,-0.057881977,gravity,poor
382,-0.037776887,gravity,poor
383,-0.023646332,gravity,poor
384,-0.012109588,gravity,poor
385,0.002392028,gravity,poor
386,0.022857048,gravity,poor
387,0.047202013,gravity,poor
388,0.07125688,gravity,poor
389,0.09001777,gravity,poor
390,0.10073603,gravity,poor
391,0.102786265,gravity,poor
392,0.096203834,gravity,poor
393,0.081454,gravity,poor
394,0.059959464,gravity,poor
395,0.035608713,gravity,poor
396,0.015658362,gravity,poor
397,0.006143167,gravity,poor
398,0.0027589076,gravity,poor
399,-0.002595278,gravity,poor
400,-0.013828827,gravity,poor
401,-0.03263294,gravity,poor
402,-0.058507036,gravity,poor
403,-0.089684986,gravity,poor
404,-0.12342515,gravity,poor
405,-0.15658782,gravity,poor
406,-0.18682666,gravity,poor
407,-0.2137905,gravity,poor
408,-0.24011885,gravity,poor
409,-0.2687297,gravity,poor
410,-0.29887486,gravity,poor
411,-0.32644287,gravity,poor
412,-0.34395635,gravity,poor
413,-0.34404674,gravity,poor
414,-0.3238678,gravity,poor
415,-0.28691882,gravity,poor
416,-0.24110633,gravity,poor
417,-0.19539222,gravity,poor
418,-0.15862367,gravity,poor
419,-0.13497916,gravity,poor
420,-0.12295417,gravity,poor
421,-0.11731035,gravity,poor
422,-0.1082508,gravity,poor
423,-0.085005105,gravity,poor
424,-0.0419331,gravity,poor
425,0.017646836,gravity,poor
426,0.08399161,gravity,poor
427,0.14351533,gravity,poor
428,-0.25902948,gravity,poor
429,-0.23908691,gravity,poor
430,-0.20618346,gravity,poor
431,-0.1679311,gravity,poor
432,-0.13259327,gravity,poor
433,-0.10649231,gravity,poor
434,-0.090802856,gravity,poor
435,-0.08197729,gravity,poor
436,-0.075457856,gravity,poor
437,-0.06902036,gravity,poor
438,-0.063978404,gravity,poor
439,-0.062833555,gravity,poor
440,-0.0661202,gravity,poor
441,-0.072112784,gravity,poor
442,-0.07770014,gravity,poor
443,-0.08077301,gravity,poor
444,-0.08158912,gravity,poor
445,-0.08225094,gravity,poor
446,-0.084787086,gravity,poor
447,-0.0889203,gravity,poor
448,-0.09094475,gravity,poor
449,-0.08477839,gravity,poor
450,-0.06749811,gravity,poor
451,-0.0412847,gravity,poor
452,-0.013050591,gravity,poor
453,0.007985092,gravity,poor
454,0.013793645,gravity,poor
455,0.000335357,gravity,poor
456,-0.03167242,gravity,poor
457,-0.07778742,gravity,poor
458,-0.13229306,gravity,poor
459,-0.18729529,gravity,poor
460,-0.2340505,gravity,poor
461,-0.26668635,gravity,poor
462,-0.28279242,gravity,poor
463,-0.28400066,gravity,poor
464,-0.27533224,gravity,poor
465,-0.26365227,gravity,poor
466,-0.2556412,gravity,poor
467,-0.25571513,gravity,poor
468,-0.2656888,gravity,poor
469,-0.2815863,gravity,poor
470,-0.29641294,gravity,poor
471,-0.30378497,gravity,poor
472,-0.29794133,gravity,poor
473,-0.27586362,gravity,poor
474,-0.2398484,gravity,poor
475,-0.19790936,gravity,poor
476,-0.16032699,gravity,poor
477,-0.13558601,gravity,poor
478,-0.130969,gravity,poor
479,-0.15096824,gravity,poor
480,-0.19652356,gravity,poor
481,-0.2621838,gravity,poor
482,-0.33034822,gravity,poor
483,-0.37886584,gravity,poor
484,-0.3961535,gravity,poor
485,-0.38503265,gravity,poor
486,-0.35445952,gravity,poor
487,-0.31210393,gravity,poor
488,-0.26277587,gravity,poor
489,-0.2095345,gravity,poor
490,-0.15497202,gravity,poor
491,-0.10385098,gravity,poor
492,-0.061875056,gravity,poor
493,-0.033587836,gravity,poor
494,-0.021971181,gravity,poor
495,-0.028932499,gravity,poor
496,-0.054210592,gravity,poor
