dim,rho_arat,rho_fma,stream
330,-0.043463781037591076,-0.05187716080888776,gravity
331,-0.011995455361986016,-0.020192195535547467,gravity
332,0.017067120261353975,0.008977058819480466,gravity
333,0.05312394764591394,0.04791915020946486,gravity
334,0.07824069054754719,0.0712635245654984,gravity
335,0.0882856842482343,0.08079662277946599,gravity
336,0.08106301399154661,0.0729324160999952,gravity
337,0.0655104245001413,0.0562674746371261,gravity
338,0.050189350704142245,0.042029308723492836,gravity
339,0.026296001778234386,0.0235740596135616,gravity
340,0.0023561948532483507,0.005523273095169666,gravity
341,-0.015315653696106598,-0.006188354985654953,gravity
342,-0.02653061467357919,-0.013672846306720764,gravity
343,-0.04074676239150221,-0.028286860823581752,gravity
344,-0.058537078838506514,-0.04762605016703007,gravity
345,-0.06435904042298707,-0.0562883551150832,gravity
346,-0.07031340730484045,-0.06675720808194287,gravity
347,-0.09005495971312831,-0.09101877676601774,gravity
348,-0.10635552298969231,-0.1122867035918734,gravity
349,-0.10255371006512794,-0.11100216752199424,gravity
350,-0.07672383687764461,-0.08859741467403004,gravity
351,-0.055369417601359286,-0.06799147633451788,gravity
352,-0.059822416813002814,-0.0735735241083816,gravity
353,-0.0767641004768457,-0.08949063511997248,gravity
354,-0.06905981562971422,-0.07948811282748797,gravity
355,-0.0631511324469544,-0.07198815448571318,gravity
356,-0.06607488918894118,-0.07101141212794235,gravity
357,-0.05891958303091686,-0.060677895592286084,gravity
358,-0.04325394574175464,-0.042451558388847455,gravity
359,-0.016915357464365254,-0.012593248261235347,gravity
360,-0.00841276933307372,-0.004859737906755277,gravity
361,0.00033604619333216695,0.0027701434089747613,gravity
362,0.028608835832343103,0.02774938185394539,gravity
363,0.07046052430192135,0.06781515229843574,gravity
364,0.10020216101178742,0.0925128909665033,gravity
365,0.13114318839785513,0.12073247025000107,gravity
366,0.13788346976411436,0.12337037063191421,gravity
367,0.14456645293151055,0.1283770452354046,gravity
368,0.14826838115805685,0.1289470049485298,gravity
369,0.13535150881435357,0.11744882175348884,gravity
370,0.11589567310039652,0.10180857041258834,gravity
371,0.08944635992520415,0.08033415886026807,gravity
372,0.07245124956242135,0.0690888614538186,gravity
373,0.05907521732782876,0.06343875878883547,gravity
374,0.06278566285420606,0.07024579460284881,gravity
375,0.05509841260673657,0.06627077028064607,gravity
376,0.04472434141257903,0.058135890738768486,gravity
377,0.02532038379759261,0.0409187766365895,gravity
378,0.00591720048259083,0.02362432743086572,gravity
379,-0.0029500829414644152,0.016773983958867273,gravity
380,-0.010758898286521797,0.012377483322345353,gravity
381,-0.009523115511042216,0.01889528584910116,gravity
