dim,icc,SEM,MDC,stream
336,0.1606586,0.0041799103,0.011586120213110762,gravity
337,0.14941444,0.0042175595,0.011690478417859987,gravity
338,0.13731173,0.0042508203,0.011782672620660484,gravity
339,0.12442658,0.004279293,0.011861595360384065,gravity
340,0.110835485,0.004303682,0.011929198246851031,gravity
341,0.09658163,0.0043237926,0.011984941747716882,gravity
342,0.08169438,0.0043395204,0.01202853673560083,gravity
343,0.06619264,0.0043508383,0.012059908347163209,gravity
344,0.05008906,0.0043577827,0.0120791572606884,gravity
345,0.03339156,0.004360463,0.012086586801776779,gravity
346,0.016110197,0.0043590297,0.01208261388178546,gravity
347,-0.0017411999,0.0043536844,0.012067797394267478,gravity
348,-0.02017519,0.0043436866,0.012040085051118156,gravity
349,-0.039156698,0.0043293172,0.012000255172920587,gravity
350,-0.05859768,0.004311828,0.01195177728824419,gravity
351,-0.078422576,0.004291516,0.011895474893825305,gravity
352,-0.09853497,0.004268682,0.011832183103125397,gravity
353,-0.11881456,0.0042436365,0.011762760263056171,gravity
354,-0.1391173,0.0042166924,0.011688075046507214,gravity
355,-0.15927842,0.004188166,0.011609003870851533,gravity
356,-0.17911346,0.004158373,0.011526421862714893,gravity
357,-0.19842356,0.0041276333,0.011441215765448185,gravity
358,-0.21703218,0.0040952824,0.011351543682746141,gravity
359,-0.23471753,0.004061612,0.011258213622378277,gravity
360,-0.251236,0.0040278616,0.011164662844233116,gravity
361,-0.26638633,0.0039942893,0.011071605131531973,gravity
362,-0.27998143,0.0039611105,0.010979638100244951,gravity
363,-0.29185244,0.003928508,0.010889269014035658,gravity
364,-0.30185068,0.0038966092,0.01080084960152581,gravity
365,-0.30984998,0.0038654865,0.010714581864657782,gravity
366,-0.31574726,0.0038351524,0.010630500008233321,gravity
367,-0.31946185,0.0038055545,0.010548458823188419,gravity
368,-0.32094663,0.003775555,0.01046530436865277,gravity
369,-0.32015756,0.0037449931,0.01038059133683008,gravity
370,-0.3170631,0.0037147047,0.010296635973634711,gravity
371,-0.3116664,0.0036844802,0.010212858088184246,gravity
372,-0.30399096,0.003654101,0.010128651029277928,gravity
373,-0.29408365,0.0036233568,0.010043432669912483,gravity
374,-0.28201964,0.0035920728,0.009956717689127304,gravity
375,-0.2679083,0.0035601272,0.00986816920189389,gravity
376,-0.25190234,0.0035274804,0.009777676849323593,gravity
377,-0.23420732,0.003494193,0.009685409073930666,gravity
378,-0.21509017,0.0034595018,0.009589249695622264,gravity
379,-0.19489762,0.003423837,0.009490392010217745,gravity
380,-0.17406905,0.0033887287,0.009393076767759823,gravity
381,-0.1531354,0.0033549145,0.00929934851186976,gravity
382,-0.1327158,0.0033233224,0.009211779701788204,gravity
383,-0.11350484,0.0032950505,0.009133413919496802,gravity
384,-0.09624348,0.0032713262,0.00906765357470872,gravity
385,-0.08167336,0.0032534301,0.009018048222321986,gravity
386,-0.070482135,0.0032426033,0.008988037703719596,gravity
387,-0.06323803,0.003239927,0.008980619779356339,gravity
388,-0.060337935,0.0032455602,0.008996233948665949,gravity
389,-0.061952792,0.003260046,0.00903638651367243,gravity
390,-0.06799753,0.0032840883,0.009103028438822457,gravity
391,-0.07815804,0.003317293,0.009195067106581058,gravity
392,-0.09192547,0.0033589113,0.009310426995393313,gravity
393,-0.10865577,0.0034079375,0.009446320736603843,gravity
394,-0.12763472,0.0034632091,0.00959952597973886,gravity
395,-0.1481429,0.0035235093,0.009766669356898003,gravity
396,-0.16950633,0.003587643,0.009944438810674602,gravity
397,-0.19113325,0.0036544956,0.010129744937560138,gravity
398,-0.21251768,0.0037225862,0.01031848251597164,gravity
399,-0.23326126,0.003791055,0.010508268181138487,gravity
400,-0.25309464,0.0038596254,0.010698335874576323,gravity
401,-0.27182624,0.003927631,0.0108868372462437,gravity
402,-0.2893406,0.0039945026,0.011072196293765898,gravity
403,-0.3055826,0.0040597534,0.011253062250160813,gravity
404,-0.32054195,0.004122968,0.011428283768894246,gravity
405,-0.33424285,0.0041837934,0.011596883754308816,gravity
406,-0.3467315,0.0042419354,0.011758045163404354,gravity
407,-0.35807025,0.0042971517,0.011911096807618331,gravity
408,-0.3683002,0.0043488867,0.012054498825498616,gravity
409,-0.3774967,0.0043970444,0.012187985323114667,gravity
410,-0.3857674,0.0044419174,0.012312366889730472,gravity
411,-0.39318737,0.0044834497,0.012427488635677749,gravity
412,-0.39982906,0.004521628,0.012533313129286669,gravity
413,-0.40576074,0.004556477,0.012629910070907953,gravity
414,-0.41104588,0.0045880564,0.01271744338544053,gravity
415,-0.4157431,0.0046164594,0.012796172513078767,gravity
416,-0.41990644,0.0046418025,0.012866420140631572,gravity
417,-0.42358556,0.0046642316,0.012928590271983703,gravity
418,-0.42680633,0.004683728,0.012982631277245735,gravity
419,-0.4296144,0.0047005326,0.013029211763485734,gravity
420,-0.43206865,0.004715041,0.013069426284359524,gravity
421,-0.434204,0.0047274474,0.013103815662958844,gravity
422,-0.43605265,0.00473795,0.013132927176111607,gravity
423,-0.43764362,0.0047467477,0.013157313263634668,gravity
424,-0.43900406,0.0047540343,0.013177510876378059,gravity
425,-0.44015878,0.0047599953,0.013194033731741566,gravity
426,-0.44113103,0.004764809,0.01320737618591644,gravity
427,-0.44190505,0.0047684787,0.013217548564880567,gravity
428,-0.27718937,0.006946624,0.019255058772779644,gravity
429,-0.28149027,0.0065377476,0.01812171170878438,gravity
430,-0.2845865,0.0061240727,0.016975063494525787,gravity
431,-0.28553414,0.0057338863,0.015893521861580415,gravity
432,-0.2835471,0.005371209,0.014888231121580841,gravity
