dim,cohens_d,stream,abs_d
75,-1.0715962648391724,acc_std,1.0715962648391724
76,-1.1379239559173584,acc_std,1.1379239559173584
77,-0.7483810782432556,acc_std,0.7483810782432556
78,-0.9395361542701721,acc_std,0.9395361542701721
79,0.09045988321304321,acc_std,0.09045988321304321
80,-0.9877131581306458,acc_std,0.9877131581306458
81,0.4639851152896881,acc_std,0.4639851152896881
82,-1.2546114921569824,acc_std,1.2546114921569824
83,-0.45611149072647095,acc_std,0.45611149072647095
84,-1.3481059074401855,acc_std,1.3481059074401855
85,-0.8946287035942078,acc_std,0.8946287035942078
86,-0.8933653831481934,acc_std,0.8933653831481934
87,-0.738448977470398,acc_std,0.738448977470398
88,-1.2139416933059692,acc_std,1.2139416933059692
89,0.7610945701599121,acc_std,0.7610945701599121
90,-0.578334391117096,acc_std,0.578334391117096
91,-0.5842990875244141,acc_std,0.5842990875244141
92,-0.9759825468063354,acc_std,0.9759825468063354
93,-0.6907467246055603,acc_std,0.6907467246055603
94,-1.0890206098556519,acc_std,1.0890206098556519
95,1.0821031332015991,acc_std,1.0821031332015991
96,-0.6174789071083069,acc_std,0.6174789071083069
97,0.8789163827896118,acc_std,0.8789163827896118
98,-0.7715325355529785,acc_std,0.7715325355529785
99,0.06504946202039719,acc_std,0.06504946202039719
100,-0.44451624155044556,acc_std,0.44451624155044556
101,-1.381056547164917,acc_std,1.381056547164917
102,0.9975017309188843,acc_std,0.9975017309188843
103,-1.1967933177947998,acc_std,1.1967933177947998
104,-0.4764893352985382,acc_std,0.4764893352985382
105,-0.7514708638191223,acc_std,0.7514708638191223
106,-0.9323933124542236,acc_std,0.9323933124542236
107,-1.1043813228607178,acc_std,1.1043813228607178
108,-1.246856689453125,acc_std,1.246856689453125
109,-1.0284628868103027,acc_std,1.0284628868103027
110,-0.7768997550010681,acc_std,0.7768997550010681
111,0.543908953666687,acc_std,0.543908953666687
112,-0.8742679953575134,acc_std,0.8742679953575134
113,0.28549516201019287,acc_std,0.28549516201019287
114,0.11482854187488556,acc_std,0.11482854187488556
115,-0.7213206887245178,acc_std,0.7213206887245178
116,-0.4082152843475342,acc_std,0.4082152843475342
117,-1.195263385772705,acc_std,1.195263385772705
118,0.5882233381271362,acc_std,0.5882233381271362
119,-0.8930021524429321,acc_std,0.8930021524429321
120,0.9194357395172119,acc_std,0.9194357395172119
121,-1.0671765804290771,acc_std,1.0671765804290771
122,-1.1458295583724976,acc_std,1.1458295583724976
123,-0.9910289645195007,acc_std,0.9910289645195007
124,-0.7676098346710205,acc_std,0.7676098346710205
125,-1.1522533893585205,acc_std,1.1522533893585205
126,0.3463403582572937,acc_std,0.3463403582572937
127,-0.5329784750938416,acc_std,0.5329784750938416
128,-0.3665085732936859,gravity,0.3665085732936859
129,-0.3882002532482147,gravity,0.3882002532482147
130,-0.4135267734527588,gravity,0.4135267734527588
131,-0.4415035843849182,gravity,0.4415035843849182
132,-0.4723265469074249,gravity,0.4723265469074249
133,-0.5060932040214539,gravity,0.5060932040214539
134,-0.5427026152610779,gravity,0.5427026152610779
135,-0.5817082524299622,gravity,0.5817082524299622
136,-0.6220986843109131,gravity,0.6220986843109131
137,-0.6620576977729797,gravity,0.6620576977729797
138,-0.6987203359603882,gravity,0.6987203359603882
139,-0.7284134030342102,gravity,0.7284134030342102
140,-0.7471705675125122,gravity,0.7471705675125122
141,-0.751717209815979,gravity,0.751717209815979
142,-0.7407386302947998,gravity,0.7407386302947998
143,-0.7154520153999329,gravity,0.7154520153999329
144,-0.6790878772735596,gravity,0.6790878772735596
145,-0.6356940269470215,gravity,0.6356940269470215
146,-0.5889855027198792,gravity,0.5889855027198792
147,-0.5417551398277283,gravity,0.5417551398277283
148,-0.4959082007408142,gravity,0.4959082007408142
149,-0.4523570239543915,gravity,0.4523570239543915
150,-0.41133901476860046,gravity,0.41133901476860046
151,-0.37288591265678406,gravity,0.37288591265678406
152,-0.33683279156684875,gravity,0.33683279156684875
153,-0.302920401096344,gravity,0.302920401096344
154,-0.27085286378860474,gravity,0.27085286378860474
155,-0.24033044278621674,gravity,0.24033044278621674
156,-0.21106615662574768,gravity,0.21106615662574768
157,-0.18279659748077393,gravity,0.18279659748077393
158,-0.15529920160770416,gravity,0.15529920160770416
159,-0.12834617495536804,gravity,0.12834617495536804
160,-0.1017298549413681,gravity,0.1017298549413681
161,-0.0752914622426033,gravity,0.0752914622426033
162,-0.04889374226331711,gravity,0.04889374226331711
163,-0.02242124266922474,gravity,0.02242124266922474
164,0.004219370894134045,gravity,0.004219370894134045
165,0.031099433079361916,gravity,0.031099433079361916
166,0.0582691915333271,gravity,0.0582691915333271
167,0.08575372397899628,gravity,0.08575372397899628
168,0.11355864256620407,gravity,0.11355864256620407
169,0.14165537059307098,gravity,0.14165537059307098
170,0.16998867690563202,gravity,0.16998867690563202
171,0.19848284125328064,gravity,0.19848284125328064
172,0.22703813016414642,gravity,0.22703813016414642
173,0.25553208589553833,gravity,0.25553208589553833
174,0.28382086753845215,gravity,0.28382086753845215
175,0.31174349784851074,gravity,0.31174349784851074
176,0.3391250669956207,gravity,0.3391250669956207
177,0.3657837212085724,gravity,0.3657837212085724
178,0.3915175497531891,gravity,0.3915175497531891
179,0.4161399006843567,gravity,0.4161399006843567
180,0.4394894242286682,gravity,0.4394894242286682
181,0.46140432357788086,gravity,0.46140432357788086
182,0.4817405641078949,gravity,0.4817405641078949
183,0.5003674030303955,gravity,0.5003674030303955
184,0.517175555229187,gravity,0.517175555229187
185,0.5320696830749512,gravity,0.5320696830749512
186,0.5449705719947815,gravity,0.5449705719947815
187,0.5558130741119385,gravity,0.5558130741119385
188,0.5645403265953064,gravity,0.5645403265953064
189,0.5711070895195007,gravity,0.5711070895195007
190,0.5754563808441162,gravity,0.5754563808441162
191,0.5775294303894043,gravity,0.5775294303894043
192,0.5772552490234375,gravity,0.5772552490234375
193,0.5745585560798645,gravity,0.5745585560798645
194,0.5693476796150208,gravity,0.5693476796150208
195,0.5615262389183044,gravity,0.5615262389183044
196,0.5509874820709229,gravity,0.5509874820709229
197,0.5376296043395996,gravity,0.5376296043395996
198,0.5213767290115356,gravity,0.5213767290115356
199,0.5021548271179199,gravity,0.5021548271179199
200,0.4799000918865204,gravity,0.4799000918865204
201,0.45462703704833984,gravity,0.45462703704833984
202,0.426419198513031,gravity,0.426419198513031
203,0.3954393267631531,gravity,0.3954393267631531
204,0.36194711923599243,gravity,0.36194711923599243
205,0.3262876868247986,gravity,0.3262876868247986
206,0.28889524936676025,gravity,0.28889524936676025
207,0.2502647638320923,gravity,0.2502647638320923
208,0.21094471216201782,gravity,0.21094471216201782
209,0.1714828610420227,gravity,0.1714828610420227
210,0.13238325715065002,gravity,0.13238325715065002
211,0.09411032497882843,gravity,0.09411032497882843
212,0.05705840513110161,gravity,0.05705840513110161
213,0.02153872698545456,gravity,0.02153872698545456
214,-0.012220441363751888,gravity,0.012220441363751888
215,-0.04407067224383354,gravity,0.04407067224383354
216,-0.07393517345190048,gravity,0.07393517345190048
217,-0.10179418325424194,gravity,0.10179418325424194
218,-0.1276436299085617,gravity,0.1276436299085617
219,-0.15154273808002472,gravity,0.15154273808002472
220,-0.17361263930797577,gravity,0.17361263930797577
221,-0.19395682215690613,gravity,0.19395682215690613
222,-0.21268625557422638,gravity,0.21268625557422638
223,-0.22991454601287842,gravity,0.22991454601287842
224,-0.24575266242027283,gravity,0.24575266242027283
225,-0.2603055536746979,gravity,0.2603055536746979
226,-0.27367278933525085,gravity,0.27367278933525085
227,-0.2859440743923187,gravity,0.2859440743923187
228,-0.297175794839859,gravity,0.297175794839859
229,-0.30744197964668274,gravity,0.30744197964668274
230,-0.316829115152359,gravity,0.316829115152359
231,-0.3253861665725708,gravity,0.3253861665725708
232,-0.33315208554267883,gravity,0.33315208554267883
233,-0.3401523530483246,gravity,0.3401523530483246
234,-0.34640225768089294,gravity,0.34640225768089294
235,-0.3519040048122406,gravity,0.3519040048122406
236,-0.3566465675830841,gravity,0.3566465675830841
237,-0.3606052100658417,gravity,0.3606052100658417
238,-0.3637293577194214,gravity,0.3637293577194214
239,-0.36596959829330444,gravity,0.36596959829330444
240,-0.367268830537796,gravity,0.367268830537796
241,-0.3675425946712494,gravity,0.3675425946712494
242,-0.3666912019252777,gravity,0.3666912019252777
243,-0.36459895968437195,gravity,0.36459895968437195
244,-0.36113882064819336,gravity,0.36113882064819336
245,-0.35617390275001526,gravity,0.35617390275001526
246,-0.3495628833770752,gravity,0.3495628833770752
247,-0.34116682410240173,gravity,0.34116682410240173
248,-0.330861359834671,gravity,0.330861359834671
249,-0.3185480237007141,gravity,0.3185480237007141
250,-0.3041561245918274,gravity,0.3041561245918274
251,-0.287660151720047,gravity,0.287660151720047
252,-0.2690852880477905,gravity,0.2690852880477905
253,-0.24852034449577332,gravity,0.24852034449577332
254,-0.22611676156520844,gravity,0.22611676156520844
255,-0.20208314061164856,gravity,0.20208314061164856
256,-0.17667922377586365,gravity,0.17667922377586365
257,-0.15019838511943817,gravity,0.15019838511943817
258,-0.1229763999581337,gravity,0.1229763999581337
259,-0.09532783180475235,gravity,0.09532783180475235
260,-0.06753139197826385,gravity,0.06753139197826385
261,-0.039856065064668655,gravity,0.039856065064668655
262,-0.01253797672688961,gravity,0.01253797672688961
263,0.0142268231138587,gravity,0.0142268231138587
264,0.04028035327792168,gravity,0.04028035327792168
265,0.06550203263759613,gravity,0.06550203263759613
266,0.0898006409406662,gravity,0.0898006409406662
267,0.11311414837837219,gravity,0.11311414837837219
268,0.13539396226406097,gravity,0.13539396226406097
269,0.15661604702472687,gravity,0.15661604702472687
270,0.17676803469657898,gravity,0.17676803469657898
271,0.1958366185426712,gravity,0.1958366185426712
272,0.21381217241287231,gravity,0.21381217241287231
273,0.23068484663963318,gravity,0.23068484663963318
274,0.24644191563129425,gravity,0.24644191563129425
275,0.26106974482536316,gravity,0.26106974482536316
276,0.2745508551597595,gravity,0.2745508551597595
277,0.28686344623565674,gravity,0.28686344623565674
278,0.2979878783226013,gravity,0.2979878783226013
279,0.30789631605148315,gravity,0.30789631605148315
280,0.31655746698379517,gravity,0.31655746698379517
281,0.323941171169281,gravity,0.323941171169281
282,0.3300195336341858,gravity,0.3300195336341858
283,0.33476555347442627,gravity,0.33476555347442627
284,0.3381553888320923,gravity,0.3381553888320923
285,0.3401689827442169,gravity,0.3401689827442169
286,0.3407902717590332,gravity,0.3407902717590332
287,0.34000706672668457,gravity,0.34000706672668457
288,0.3378221094608307,gravity,0.3378221094608307
289,0.3342370390892029,gravity,0.3342370390892029
290,0.3292495608329773,gravity,0.3292495608329773
291,0.3228718936443329,gravity,0.3228718936443329
292,0.31511780619621277,gravity,0.31511780619621277
293,0.3060081899166107,gravity,0.3060081899166107
294,0.29556673765182495,gravity,0.29556673765182495
295,0.2838205397129059,gravity,0.2838205397129059
296,0.2708010971546173,gravity,0.2708010971546173
297,0.25654366612434387,gravity,0.25654366612434387
298,0.24110090732574463,gravity,0.24110090732574463
299,0.22451993823051453,gravity,0.22451993823051453
300,0.20684024691581726,gravity,0.20684024691581726
301,0.1881217509508133,gravity,0.1881217509508133
302,0.16843216121196747,gravity,0.16843216121196747
303,0.14785364270210266,gravity,0.14785364270210266
304,0.12647892534732819,gravity,0.12647892534732819
305,0.10441800206899643,gravity,0.10441800206899643
306,0.08179538697004318,gravity,0.08179538697004318
307,0.05875187739729881,gravity,0.05875187739729881
308,0.035453639924526215,gravity,0.035453639924526215
309,0.012071914039552212,gravity,0.012071914039552212
310,-0.011221714317798615,gravity,0.011221714317798615
311,-0.03423881158232689,gravity,0.03423881158232689
312,-0.05679162219166756,gravity,0.05679162219166756
313,-0.07869639247655869,gravity,0.07869639247655869
314,-0.09978288412094116,gravity,0.09978288412094116
315,-0.1198965534567833,gravity,0.1198965534567833
316,-0.13890531659126282,gravity,0.13890531659126282
317,-0.15670332312583923,gravity,0.15670332312583923
318,-0.1732056438922882,gravity,0.1732056438922882
319,-0.18836325407028198,gravity,0.18836325407028198
320,-0.202157124876976,gravity,0.202157124876976
321,-0.21458928287029266,gravity,0.21458928287029266
322,-0.22568155825138092,gravity,0.22568155825138092
323,-0.2354729026556015,gravity,0.2354729026556015
324,-0.24401649832725525,gravity,0.24401649832725525
325,-0.2513739764690399,gravity,0.2513739764690399
326,-0.25761306285858154,gravity,0.25761306285858154
327,-0.2628042995929718,gravity,0.2628042995929718
328,-0.2670222222805023,gravity,0.2670222222805023
329,-0.27033916115760803,gravity,0.27033916115760803
330,-0.2728182375431061,gravity,0.2728182375431061
331,-0.2745199501514435,gravity,0.2745199501514435
332,-0.27550017833709717,gravity,0.27550017833709717
333,-0.2758077085018158,gravity,0.2758077085018158
334,-0.275485634803772,gravity,0.275485634803772
335,-0.2745703458786011,gravity,0.2745703458786011
336,-0.2730913460254669,gravity,0.2730913460254669
337,-0.2710721492767334,gravity,0.2710721492767334
338,-0.2685418426990509,gravity,0.2685418426990509
339,-0.26551276445388794,gravity,0.26551276445388794
340,-0.26197823882102966,gravity,0.26197823882102966
341,-0.25793689489364624,gravity,0.25793689489364624
342,-0.2533820867538452,gravity,0.2533820867538452
343,-0.2483021765947342,gravity,0.2483021765947342
344,-0.2426798790693283,gravity,0.2426798790693283
345,-0.2364942729473114,gravity,0.2364942729473114
346,-0.22972002625465393,gravity,0.22972002625465393
347,-0.22232837975025177,gravity,0.22232837975025177
348,-0.2142985463142395,gravity,0.2142985463142395
349,-0.20559626817703247,gravity,0.20559626817703247
350,-0.1961737722158432,gravity,0.1961737722158432
351,-0.18599647283554077,gravity,0.18599647283554077
352,-0.17502938210964203,gravity,0.17502938210964203
353,-0.16324229538440704,gravity,0.16324229538440704
354,-0.15060801804065704,gravity,0.15060801804065704
355,-0.1371067762374878,gravity,0.1371067762374878
356,-0.12272654473781586,gravity,0.12272654473781586
357,-0.10746483504772186,gravity,0.10746483504772186
358,-0.09133806824684143,gravity,0.09133806824684143
359,-0.07436879724264145,gravity,0.07436879724264145
360,-0.056589674204587936,gravity,0.056589674204587936
361,-0.038055669516325,gravity,0.038055669516325
362,-0.018835535272955894,gravity,0.018835535272955894
363,0.0009867053013294935,gravity,0.0009867053013294935
364,0.02131274715065956,gravity,0.02131274715065956
365,0.042034752666950226,gravity,0.042034752666950226
366,0.06303655356168747,gravity,0.06303655356168747
367,0.0841948464512825,gravity,0.0841948464512825
368,0.105396568775177,gravity,0.105396568775177
369,0.12652046978473663,gravity,0.12652046978473663
370,0.1474418342113495,gravity,0.1474418342113495
371,0.16804523766040802,gravity,0.16804523766040802
372,0.18822523951530457,gravity,0.18822523951530457
373,0.20788277685642242,gravity,0.20788277685642242
374,0.22692537307739258,gravity,0.22692537307739258
375,0.24527192115783691,gravity,0.24527192115783691
376,0.26284506916999817,gravity,0.26284506916999817
377,0.27957582473754883,gravity,0.27957582473754883
378,0.2954258918762207,gravity,0.2954258918762207
379,0.3103353977203369,gravity,0.3103353977203369
380,0.324222594499588,gravity,0.324222594499588
381,0.3370317220687866,gravity,0.3370317220687866
382,0.34871241450309753,gravity,0.34871241450309753
383,0.3592187762260437,gravity,0.3592187762260437
384,0.368508905172348,gravity,0.368508905172348
385,0.37654805183410645,gravity,0.37654805183410645
386,0.38331010937690735,gravity,0.38331010937690735
387,0.3887786865234375,gravity,0.3887786865234375
