dim,icc,stream,category
329,0.38875753,gravity,poor
330,0.38913566,gravity,poor
331,0.38931412,gravity,poor
332,0.3892549,gravity,poor
333,0.38906837,gravity,poor
334,0.3887528,gravity,poor
335,0.38820505,gravity,poor
336,0.38746268,gravity,poor
337,0.38665533,gravity,poor
338,0.38562846,gravity,poor
339,0.38438916,gravity,poor
340,0.38308924,gravity,poor
341,0.3816167,gravity,poor
342,0.37995097,gravity,poor
343,0.37818247,gravity,poor
344,0.37631646,gravity,poor
345,0.37427947,gravity,poor
346,0.3721066,gravity,poor
347,0.3699114,gravity,poor
348,0.36756834,gravity,poor
349,0.365086,gravity,poor
350,0.36260533,gravity,poor
351,0.3600264,gravity,poor
352,0.35733062,gravity,poor
353,0.35460734,gravity,poor
354,0.351863,gravity,poor
355,0.34902257,gravity,poor
356,0.34612122,gravity,poor
357,0.3432778,gravity,poor
358,0.34035712,gravity,poor
359,0.33736515,gravity,poor
360,0.3344542,gravity,poor
361,0.33151135,gravity,poor
362,0.3285126,gravity,poor
363,0.32555422,gravity,poor
364,0.32263988,gravity,poor
365,0.31968254,gravity,poor
366,0.31671745,gravity,poor
367,0.31387448,gravity,poor
368,0.31099853,gravity,poor
369,0.30809295,gravity,poor
370,0.3053234,gravity,poor
371,0.30256173,gravity,poor
372,0.29977778,gravity,poor
373,0.2970741,gravity,poor
374,0.29445192,gravity,poor
375,0.29181376,gravity,poor
376,0.2891946,gravity,poor
377,0.2867308,gravity,poor
378,0.28425542,gravity,poor
379,0.2817694,gravity,poor
380,0.27944314,gravity,poor
381,0.2771421,gravity,poor
382,0.27483365,gravity,poor
383,0.27261963,gravity,poor
384,0.27050003,gravity,poor
385,0.2683754,gravity,poor
386,0.26627916,gravity,poor
387,0.26434368,gravity,poor
388,0.26240474,gravity,poor
389,0.26046258,gravity,poor
390,0.25867856,gravity,poor
391,0.256924,gravity,poor
392,0.25516742,gravity,poor
393,0.25350198,gravity,poor
394,0.25192806,gravity,poor
395,0.25035232,gravity,poor
396,0.24880514,gravity,poor
397,0.24740529,gravity,poor
398,0.24600439,gravity,poor
399,0.24460222,gravity,poor
400,0.24334036,gravity,poor
401,0.24210557,gravity,poor
402,0.2408701,gravity,poor
403,0.23971336,gravity,poor
404,0.2386351,gravity,poor
405,0.23755635,gravity,poor
406,0.23650159,gravity,poor
407,0.2355692,gravity,poor
408,0.23463638,gravity,poor
409,0.2337031,gravity,poor
410,0.23288238,gravity,poor
411,0.23208395,gravity,poor
412,0.23128513,gravity,poor
413,0.23054771,gravity,poor
414,0.22987142,gravity,poor
415,0.22919506,gravity,poor
416,0.2285368,gravity,poor
417,0.22797102,gravity,poor
418,0.22740468,gravity,poor
419,0.22683835,gravity,poor
420,0.22635405,gravity,poor
421,0.22588594,gravity,poor
422,0.22541767,gravity,poor
423,0.22499256,gravity,poor
424,0.22461064,gravity,poor
425,0.22422875,gravity,poor
426,0.22391033,gravity,poor
427,0.22391033,gravity,poor
428,0.16801777,gravity,poor
429,0.16801777,gravity,poor
430,0.17296262,gravity,poor
431,0.17917193,gravity,poor
432,0.18569289,gravity,poor
433,0.19246393,gravity,poor
434,0.19949675,gravity,poor
435,0.20687452,gravity,poor
436,0.21457407,gravity,poor
437,0.22247636,gravity,poor
438,0.2307471,gravity,poor
439,0.23939021,gravity,poor
440,0.24820767,gravity,poor
441,0.25735974,gravity,poor
442,0.26688045,gravity,poor
443,0.27661723,gravity,poor
444,0.28656262,gravity,poor
445,0.29683954,gravity,poor
446,0.3073668,gravity,poor
447,0.31791022,gravity,poor
448,0.32870305,gravity,poor
