dim,SRM,abs_SRM,stream
311,0.1326159,0.1326159,gravity
312,0.13067508,0.13067508,gravity
313,0.12863268,0.12863268,gravity
314,0.1264955,0.1264955,gravity
315,0.124272406,0.124272406,gravity
316,0.12197276,0.12197276,gravity
317,0.119609304,0.119609304,gravity
318,0.1171821,0.1171821,gravity
319,0.11469912,0.11469912,gravity
320,0.11218223,0.11218223,gravity
321,0.10962469,0.10962469,gravity
322,0.10703137,0.10703137,gravity
323,0.10442188,0.10442188,gravity
324,0.10179994,0.10179994,gravity
325,0.09915916,0.09915916,gravity
326,0.09651018,0.09651018,gravity
327,0.093880065,0.093880065,gravity
328,0.09124348,0.09124348,gravity
329,0.0886056,0.0886056,gravity
330,0.086004585,0.086004585,gravity
331,0.0834137,0.0834137,gravity
332,0.08083057,0.08083057,gravity
333,0.07828243,0.07828243,gravity
334,0.075769395,0.075769395,gravity
335,0.07326959,0.07326959,gravity
336,0.07079546,0.07079546,gravity
337,0.06838281,0.06838281,gravity
338,0.06598732,0.06598732,gravity
339,0.06361151,0.06361151,gravity
340,0.061305113,0.061305113,gravity
341,0.05902806,0.05902806,gravity
342,0.056772087,0.056772087,gravity
343,0.054569874,0.054569874,gravity
344,0.05242,0.05242,gravity
345,0.050291196,0.050291196,gravity
346,0.048195668,0.048195668,gravity
347,0.04617804,0.04617804,gravity
348,0.044180803,0.044180803,gravity
349,0.042204022,0.042204022,gravity
350,0.040308177,0.040308177,gravity
351,0.038443573,0.038443573,gravity
352,0.036598083,0.036598083,gravity
353,0.034809846,0.034809846,gravity
354,0.033076357,0.033076357,gravity
355,0.03136111,0.03136111,gravity
356,0.029676622,0.029676622,gravity
357,0.028072212,0.028072212,gravity
358,0.026484312,0.026484312,gravity
359,0.024912054,0.024912054,gravity
360,0.023420691,0.023420691,gravity
361,0.021956358,0.021956358,gravity
362,0.020506084,0.020506084,gravity
363,0.019108847,0.019108847,gravity
364,0.017763609,0.017763609,gravity
365,0.016430674,0.016430674,gravity
366,0.015123452,0.015123452,gravity
367,0.013892376,0.013892376,gravity
368,0.012672428,0.012672428,gravity
369,0.011462678,0.011462678,gravity
370,0.010328352,0.010328352,gravity
371,0.009215681,0.009215681,gravity
372,0.008112071,0.008112071,gravity
373,0.0070557063,0.0070557063,gravity
374,0.0060455147,0.0060455147,gravity
375,0.005042758,0.005042758,gravity
376,0.0040602675,0.0040602675,gravity
377,0.0031469644,0.0031469644,gravity
378,0.0022398068,0.0022398068,gravity
379,0.001339031,0.001339031,gravity
380,0.0005049233,0.0005049233,gravity
381,-0.00031166774,0.00031166774,gravity
382,-0.0011236166,0.0011236166,gravity
383,-0.00189494,0.00189494,gravity
384,-0.0026266382,0.0026266382,gravity
385,-0.0033543587,0.0033543587,gravity
386,-0.0040669413,0.0040669413,gravity
387,-0.0047191214,0.0047191214,gravity
388,-0.0053682732,0.0053682732,gravity
389,-0.006014275,0.006014275,gravity
390,-0.0066031013,0.0066031013,gravity
391,-0.007178726,0.007178726,gravity
392,-0.0077518453,0.0077518453,gravity
393,-0.00829188,0.00829188,gravity
394,-0.008799225,0.008799225,gravity
395,-0.009304811,0.009304811,gravity
396,-0.009798845,0.009798845,gravity
397,-0.010242992,0.010242992,gravity
398,-0.010686082,0.010686082,gravity
399,-0.011127584,0.011127584,gravity
400,-0.011522986,0.011522986,gravity
401,-0.011908504,0.011908504,gravity
402,-0.012292766,0.012292766,gravity
403,-0.012651235,0.012651235,gravity
404,-0.012983954,0.012983954,gravity
405,-0.013316074,0.013316074,gravity
406,-0.01363979,0.01363979,gravity
407,-0.013924702,0.013924702,gravity
408,-0.014209396,0.014209396,gravity
409,-0.014493478,0.014493478,gravity
410,-0.014742105,0.014742105,gravity
411,-0.01498393,0.01498393,gravity
412,-0.0152251385,0.0152251385,gravity
413,-0.015447447,0.015447447,gravity
414,-0.015650962,0.015650962,gravity
415,-0.015853757,0.015853757,gravity
416,-0.016051108,0.016051108,gravity
417,-0.016220484,0.016220484,gravity
418,-0.0163895,0.0163895,gravity
419,-0.01655846,0.01655846,gravity
420,-0.016702907,0.016702907,gravity
421,-0.01684199,0.01684199,gravity
422,-0.016981166,0.016981166,gravity
423,-0.017107118,0.017107118,gravity
424,-0.017220747,0.017220747,gravity
425,-0.017334145,0.017334145,gravity
426,-0.01742841,0.01742841,gravity
427,-0.01742841,0.01742841,gravity
428,-0.11141698,0.11141698,gravity
429,-0.11141698,0.11141698,gravity
430,-0.112093166,0.112093166,gravity
431,-0.11292594,0.11292594,gravity
432,-0.113781035,0.113781035,gravity
433,-0.11461837,0.11461837,gravity
434,-0.11543397,0.11543397,gravity
435,-0.11626512,0.11626512,gravity
436,-0.11709534,0.11709534,gravity
437,-0.11786169,0.11786169,gravity
438,-0.11863088,0.11863088,gravity
439,-0.11939788,0.11939788,gravity
440,-0.12007867,0.12007867,gravity
441,-0.12072464,0.12072464,gravity
442,-0.1213419,0.1213419,gravity
443,-0.12187113,0.12187113,gravity
444,-0.12229754,0.12229754,gravity
445,-0.122652315,0.122652315,gravity
446,-0.122901134,0.122901134,gravity
447,-0.12296013,0.12296013,gravity
448,-0.12288314,0.12288314,gravity
449,-0.12264103,0.12264103,gravity
450,-0.122135945,0.122135945,gravity
451,-0.121391475,0.121391475,gravity
452,-0.120381884,0.120381884,gravity
453,-0.11904182,0.11904182,gravity
454,-0.117340796,0.117340796,gravity
455,-0.115265824,0.115265824,gravity
456,-0.1127761,0.1127761,gravity
457,-0.10984672,0.10984672,gravity
458,-0.106463365,0.106463365,gravity
459,-0.1026059,0.1026059,gravity
460,-0.098320685,0.098320685,gravity
461,-0.09359283,0.09359283,gravity
462,-0.0884311,0.0884311,gravity
463,-0.08292733,0.08292733,gravity
464,-0.07713828,0.07713828,gravity
465,-0.07106078,0.07106078,gravity
466,-0.06478137,0.06478137,gravity
467,-0.058467317,0.058467317,gravity
468,-0.052053906,0.052053906,gravity
469,-0.04560483,0.04560483,gravity
470,-0.039305862,0.039305862,gravity
471,-0.033091716,0.033091716,gravity
472,-0.026979674,0.026979674,gravity
473,-0.021077821,0.021077821,gravity
474,-0.015397046,0.015397046,gravity
475,-0.009887446,0.009887446,gravity
476,-0.0045871725,0.0045871725,gravity
477,0.00043098614,0.00043098614,gravity
478,0.005262792,0.005262792,gravity
479,0.0099014025,0.0099014025,gravity
480,0.014279632,0.014279632,gravity
481,0.018469794,0.018469794,gravity
482,0.022486031,0.022486031,gravity
483,0.026301377,0.026301377,gravity
484,0.02993431,0.02993431,gravity
485,0.033419445,0.033419445,gravity
486,0.0367531,0.0367531,gravity
487,0.039923057,0.039923057,gravity
488,0.042971224,0.042971224,gravity
489,0.045900192,0.045900192,gravity
490,0.0486986,0.0486986,gravity
491,0.05139378,0.05139378,gravity
492,0.053992134,0.053992134,gravity
493,0.056491803,0.056491803,gravity
494,0.05890391,0.05890391,gravity
495,0.061237633,0.061237633,gravity
496,0.06349437,0.06349437,gravity
497,0.06568056,0.06568056,gravity
498,0.06780309,0.06780309,gravity
499,0.069863126,0.069863126,gravity
500,0.0718681,0.0718681,gravity
501,0.07382165,0.07382165,gravity
502,0.07572447,0.07572447,gravity
503,0.07758169,0.07758169,gravity
504,0.079399765,0.079399765,gravity
505,0.081176385,0.081176385,gravity
506,0.08291348,0.08291348,gravity
507,0.08462285,0.08462285,gravity
508,0.08629803,0.08629803,gravity
509,0.08793931,0.08793931,gravity
510,0.08955851,0.08955851,gravity
511,0.091151886,0.091151886,gravity
512,0.09271726,0.09271726,gravity
513,0.09426133,0.09426133,gravity
514,0.095788315,0.095788315,gravity
515,0.09729237,0.09729237,gravity
516,0.09877531,0.09877531,gravity
517,0.10024794,0.10024794,gravity
518,0.10170182,0.10170182,gravity
519,0.103136815,0.103136815,gravity
520,0.10456273,0.10456273,gravity
521,0.1059754,0.1059754,gravity
522,0.107372634,0.107372634,gravity
523,0.10875903,0.10875903,gravity
524,0.11013716,0.11013716,gravity
525,0.11150316,0.11150316,gravity
526,0.112856984,0.112856984,gravity
527,0.11420583,0.11420583,gravity
528,0.11554471,0.11554471,gravity
529,0.1168729,0.1168729,gravity
530,0.11819531,0.11819531,gravity
531,0.11951077,0.11951077,gravity
532,0.120817505,0.120817505,gravity
533,0.12211643,0.12211643,gravity
534,0.12341019,0.12341019,gravity
535,0.1246971,0.1246971,gravity
536,0.1259762,0.1259762,gravity
537,0.12724915,0.12724915,gravity
538,0.12851654,0.12851654,gravity
539,0.12977766,0.12977766,gravity
540,0.13102986,0.13102986,gravity
541,0.13227734,0.13227734,gravity
542,0.13351919,0.13351919,gravity
543,0.13475215,0.13475215,gravity
544,0.1359777,0.1359777,gravity
545,0.1371984,0.1371984,gravity
546,0.13841134,0.13841134,gravity
547,0.1396126,0.1396126,gravity
548,0.14080878,0.14080878,gravity
549,0.1419985,0.1419985,gravity
550,0.14317288,0.14317288,gravity
551,0.1443399,0.1443399,gravity
552,0.14549997,0.14549997,gravity
553,0.14664543,0.14664543,gravity
554,0.14777721,0.14777721,gravity
555,0.14890099,0.14890099,gravity
556,0.15001203,0.15001203,gravity
557,0.151101,0.151101,gravity
558,0.1521798,0.1521798,gravity
559,0.15324561,0.15324561,gravity
560,0.15428498,0.15428498,gravity
561,0.15530784,0.15530784,gravity
562,0.15631483,0.15631483,gravity
563,0.15729547,0.15729547,gravity
564,0.15824947,0.15824947,gravity
565,0.15918314,0.15918314,gravity
566,0.1600905,0.1600905,gravity
567,0.16095889,0.16095889,gravity
568,0.16180119,0.16180119,gravity
569,0.16261362,0.16261362,gravity
570,0.16337945,0.16337945,gravity
571,0.16410843,0.16410843,gravity
572,0.1647991,0.1647991,gravity
573,0.16544014,0.16544014,gravity
574,0.16602965,0.16602965,gravity
575,0.16657037,0.16657037,gravity
576,0.16705523,0.16705523,gravity
577,0.16747327,0.16747327,gravity
578,0.16782977,0.16782977,gravity
579,0.16811912,0.16811912,gravity
580,0.16832928,0.16832928,gravity
581,0.16846155,0.16846155,gravity
582,0.16851105,0.16851105,gravity
583,0.16846882,0.16846882,gravity
584,0.16833094,0.16833094,gravity
585,0.16809201,0.16809201,gravity
586,0.16774446,0.16774446,gravity
587,0.16728522,0.16728522,gravity
588,0.16670536,0.16670536,gravity
589,0.16599584,0.16599584,gravity
590,0.16515978,0.16515978,gravity
591,0.16418384,0.16418384,gravity
592,0.16305873,0.16305873,gravity
593,0.16178621,0.16178621,gravity
594,0.16036278,0.16036278,gravity
595,0.1587709,0.1587709,gravity
596,0.15701012,0.15701012,gravity
597,0.15509485,0.15509485,gravity
598,0.15299796,0.15299796,gravity
599,0.15071505,0.15071505,gravity
600,0.14827558,0.14827558,gravity
601,0.14565359,0.14565359,gravity
602,0.14284182,0.14284182,gravity
603,0.139865,0.139865,gravity
604,0.13672504,0.13672504,gravity
605,0.13340217,0.13340217,gravity
606,0.12991004,0.12991004,gravity
607,0.12629163,0.12629163,gravity
608,0.12250759,0.12250759,gravity
609,0.118566215,0.118566215,gravity
610,0.11453011,0.11453011,gravity
611,0.11036602,0.11036602,gravity
612,0.10607533,0.10607533,gravity
613,0.10170542,0.10170542,gravity
614,0.0972667,0.0972667,gravity
615,0.09273738,0.09273738,gravity
616,0.08814464,0.08814464,gravity
617,0.0835489,0.0835489,gravity
618,0.07890005,0.07890005,gravity
619,0.07421285,0.07421285,gravity
620,0.06956403,0.06956403,gravity
621,0.06491046,0.06491046,gravity
622,0.060251642,0.060251642,gravity
623,0.055640474,0.055640474,gravity
624,0.051081855,0.051081855,gravity
625,0.04654583,0.04654583,gravity
626,0.042056136,0.042056136,gravity
627,0.03767258,0.03767258,gravity
628,0.033331253,0.033331253,gravity
629,0.029040357,0.029040357,gravity
630,0.024874272,0.024874272,gravity
631,0.020777795,0.020777795,gravity
632,0.016742466,0.016742466,gravity
633,0.012814904,0.012814904,gravity
634,0.008993328,0.008993328,gravity
635,0.005237642,0.005237642,gravity
636,0.0015658514,0.0015658514,gravity
637,-0.0019668888,0.0019668888,gravity
638,-0.005433368,0.005433368,gravity
639,-0.008830949,0.008830949,gravity
640,-0.012088598,0.012088598,gravity
641,-0.015267525,0.015267525,gravity
642,-0.01838104,0.01838104,gravity
643,-0.021385666,0.021385666,gravity
644,-0.024286682,0.024286682,gravity
645,-0.027127095,0.027127095,gravity
646,-0.02989242,0.02989242,gravity
647,-0.032528978,0.032528978,gravity
648,-0.035111245,0.035111245,gravity
649,-0.037639093,0.037639093,gravity
650,-0.040042758,0.040042758,gravity
651,-0.042383526,0.042383526,gravity
652,-0.044676397,0.044676397,gravity
653,-0.04687923,0.04687923,gravity
654,-0.048996337,0.048996337,gravity
655,-0.051071573,0.051071573,gravity
656,-0.05309159,0.05309159,gravity
657,-0.055002544,0.055002544,gravity
658,-0.056877505,0.056877505,gravity
659,-0.058716856,0.058716856,gravity
660,-0.060452424,0.060452424,gravity
661,-0.06214355,0.06214355,gravity
662,-0.063804254,0.063804254,gravity
663,-0.06539413,0.06539413,gravity
664,-0.06691643,0.06691643,gravity
665,-0.06841326,0.06841326,gravity
666,-0.069871366,0.069871366,gravity
667,-0.071239226,0.071239226,gravity
668,-0.07258585,0.07258585,gravity
669,-0.073911205,0.073911205,gravity
670,-0.07515123,0.07515123,gravity
671,-0.076360054,0.076360054,gravity
672,-0.077551335,0.077551335,gravity
673,-0.078687355,0.078687355,gravity
674,-0.0797703,0.0797703,gravity
675,-0.08083885,0.08083885,gravity
676,-0.081880555,0.081880555,gravity
677,-0.082848065,0.082848065,gravity
678,-0.08380372,0.08380372,gravity
679,-0.08474764,0.08474764,gravity
