dim,icc
460,-0.23405049741268158
461,-0.266686350107193
462,-0.28279241919517517
463,-0.2840006649494171
464,-0.2753322422504425
465,-0.2636522650718689
466,-0.2556411921977997
467,-0.25571513175964355
468,-0.26568880677223206
469,-0.28158628940582275
470,-0.29641294479370117
471,-0.30378496646881104
472,-0.29794132709503174
473,-0.2758636176586151
474,-0.23984840512275696
475,-0.19790935516357422
476,-0.1603269875049591
477,-0.13558600842952728
478,-0.13096900284290314
479,-0.15096823871135712
480,-0.19652356207370758
481,-0.2621837854385376
482,-0.3303482234477997
483,-0.3788658380508423
484,-0.3961535096168518
485,-0.38503265380859375
486,-0.3544595241546631
487,-0.31210392713546753
488,-0.26277586817741394
489,-0.20953449606895447
490,-0.15497201681137085
491,-0.10385098308324814
492,-0.061875056475400925
493,-0.03358783572912216
494,-0.02197118103504181
495,-0.028932498767971992
496,-0.054210592061281204
497,-0.0924673080444336
498,-0.13277567923069
499,-0.1599712073802948
500,-0.16587936878204346
501,-0.15603379905223846
502,-0.14476558566093445
503,-0.1466471403837204
504,-0.16866707801818848
505,-0.20794202387332916
506,-0.2552219033241272
507,-0.2997833788394928
508,-0.3315516412258148
509,-0.34174981713294983
510,-0.3242016136646271
511,-0.27698054909706116
512,-0.20890355110168457
513,-0.14343513548374176
514,-0.10963744670152664
515,-0.12246353924274445
516,-0.17308233678340912
517,-0.23774832487106323
518,-0.2913873791694641
519,-0.31652262806892395
520,-0.3100643754005432
521,-0.2793497145175934
522,-0.23648953437805176
523,-0.1910516917705536
524,-0.14491696655750275
525,-0.09209522604942322
526,-0.023824557662010193
527,0.04731817543506622
528,-0.1368388682603836
529,-0.029415078461170197
530,0.07581844180822372
531,0.1471748799085617
532,0.18922974169254303
533,0.21779678761959076
534,0.24410702288150787
535,0.26849600672721863
536,0.2830062210559845
537,0.27992260456085205
538,0.2604077458381653
539,0.23321004211902618
540,0.20740066468715668
541,0.18858397006988525
542,0.17653895914554596
543,0.16576328873634338
544,0.1481161117553711
545,0.11790387332439423
546,0.0766308605670929
547,0.03241780400276184
548,-0.005797288380563259
549,-0.033733367919921875
550,-0.05115863308310509
551,-0.05879858881235123
552,-0.05683838576078415
553,-0.04472170025110245
554,-0.02168484404683113
555,0.012384198606014252
556,0.05569981411099434
557,0.10331811755895615
558,0.14717209339141846
559,0.18021267652511597
560,0.19968770444393158
561,0.20565548539161682
562,0.19950555264949799
563,0.18357181549072266
564,0.16190703213214874
565,0.14013510942459106
566,0.12308783084154129
567,0.11189291626214981
568,0.10421794652938843
569,0.09492263942956924
570,0.07988498359918594
571,0.06003861129283905
572,0.04135100170969963
573,0.032338086515665054
574,0.038556989282369614
575,0.05826761946082115
576,0.08260773122310638
577,0.09911954402923584
578,0.09616880863904953
579,0.06773696839809418
580,0.01777695119380951
581,-0.043388888239860535
582,-0.10369281470775604
583,-0.15269477665424347
584,-0.18306490778923035
585,-0.19136221706867218
586,-0.17892305552959442
587,-0.15179936587810516
588,-0.11834201961755753
589,-0.08495154976844788
590,-0.053548019379377365
591,-0.023705117404460907
592,0.005004003178328276
593,0.03142198920249939
594,0.05268749222159386
595,0.06555923074483871
596,0.06823625415563583
597,0.06111450120806694
598,0.04628593847155571
599,0.026886235922574997
600,0.006838872563093901
601,-0.007977453991770744
602,-0.010195646435022354
603,0.006821072194725275
604,0.04542951285839081
605,0.10030604153871536
606,0.15748421847820282
607,0.1980314552783966
608,0.20545795559883118
609,0.17558768391609192
610,0.11839311569929123
611,0.050183918327093124
612,-0.012594068422913551
613,-0.05728122219443321
614,-0.0761072039604187
615,-0.06691402941942215
616,-0.035151030868291855
617,0.0062038470059633255
618,0.04500221088528633
619,0.0785343199968338
620,0.11099232733249664
621,0.148814395070076
622,0.19613602757453918
623,0.2527867257595062
624,0.31301212310791016
625,0.36562323570251465
626,0.3969607949256897
627,0.3928734362125397
628,0.18504385650157928
629,0.17595432698726654
630,0.16329582035541534
631,0.13592591881752014
632,0.10257571190595627
633,0.07245385646820068
634,0.05228031426668167
635,0.04207800328731537
636,0.03256790339946747
637,0.010681096464395523
638,-0.02918749675154686
639,-0.08212573826313019
640,-0.13962580263614655
641,-0.19508883357048035
642,-0.24472540616989136
643,-0.2852869927883148
644,-0.31146475672721863
645,-0.3156082332134247
646,-0.2914339005947113
647,-0.23936383426189423
648,-0.16791753470897675
649,-0.09153998643159866
650,-0.024095939472317696
651,0.025626230984926224
